a (letter)	/ˈeɪ/
conquer	/ˈkɑŋkɚ/
conqueror	/ˈkɑŋkɚɚ/
conquest	/ˈkɑnˌkwεst, ˈkɑŋ-/
conscience	/ˈkɑnʃəns/
conscientious	/ˌkɑnʃiˈεnʃəs/
conscious	/ˈkɑnʃəs/
consciousness	/ˈkɑnʃəsnəs/
consecrate	/ˈkɑnsəˌkreɪt/
consecration	/ˌkɑnsəˈkreɪʃən/
consecutive	/kənˈsεkjət̬iv/
consensus	/kənˈsεnsəs/
consent	/kənˈsεnt/
consequence	/ˈkɑnsəˌkwεns, -kwəns/
consequent	/ˈkɑnsəkwənt, -ˌkwεnt/
consequently	/ˈkɑnsəkwəntli, -ˌkwεnt-/
conserve	/kənˈsɝv/
conservation	/ˌkɑnsɚˈveɪʃən/
conservative	/kənˈsɝvət̬iv/
conservatory	/kənˈsɝvəˌtori/
consider	/kənˈsɪdɚ/
considerable	/kənˈsɪdɚəbəl/
considerate	/kənˈsɪdɚət/
consideration	/kənˌsɪdəˈreɪʃən/
considering	/kənˈsɪdɚɪŋ/
consign	/kənˈsaɪn/
consignment	/kənˈsaɪnmənt/
consist	/kənˈsɪst/
consistency	/kənˈsɪstənsi/
consistent	/kənˈsɪstənt/
console	/kənˈsoːl/
consolation	/ˌkɑnsəˈleɪʃən/
consolidate	/kənˈsɑləˌdeɪt/
consolidation	/kənˌsɑləˈdeɪʃən/
consonant	/ˈkɑnsənənt/
conspicuous	/kənˈspɪkjʊəs/
conspicuously	/kənˈspɪkjʊəsli/
conspire	/kənˈspaɪr/
conspiracy	/kənˈspɪrəsi/
constant	/ˈkɑnstənt/
constantly	/ˈkɑnstəntli/
constellation	/ˌkɑnstəˈleɪʃən/
constipated	/ˈkɑnstəˌpeɪtəd/
constipation	/ˌkɑnstəˈpeɪʃən/
constituent	/kənˈstɪtʃʊənt/
constitute	/ˈkɑnstəˌtuːt, -ˌtjuːt/
constitution	/ˌkɑnstəˈtuːʃən, -ˈtjuː-/
constitutional	/ˌkɑnstəˈtuːʃənəl, -ˈtjuː-/
constraint	/kənˈstreɪnt/
construct	/kənˈstrʌkt/
construction	/kənˈstrʌkʃən/
constructive	/kənˈstrʌktɪv/
construe	/kənˈstruː/
consul	/ˈkɑnsəl/
consulate	/ˈkɑnsələt/
consult	/kənˈsʌlt/
consultant	/kənˈsʌltənt/
consultation	/ˌkɑnsəlˈteɪʃən/
consume	/kənˈsuːm/
consumer	/kənˈsuːmɚ/
consumption	/kənˈsʌmpʃən/
contact	/ˈkɑnˌtækt/
~	/ˈkɑnˌtækt, kənˈ-/
contact lens	/ˈkɑnˌtæktˈlεnz/
contagious	/kənˈteɪdƷəs/
contain	/kənˈteɪn/
container	/kənˈteɪnɚ/
contaminate	/kənˈtæməˌneɪt/
contamination	/kənˌtæməˈneɪʃən/
contemplate	/ˈkɑntəmˌpleɪt/
contemplation	/ˌkɑntəmˈpleɪʃən/
contemporary	/kənˈtεmpəˌrεri/
contempt	/kənˈtεmpt/
contemptible	/kənˈtεmptəbəl/
contemptuous	/kənˈtεmptʃʊəs/
contend	/kənˈtεnd/
contender	/kənˈtεndɚ/
content 1	/ˈkɑnˌtεnt/
content 2	/kənˈtεnt/
contented	/kənˈtεntəd/
contention	/kənˈtεnʃən/
contentment	/kənˈtεntmənt/
contest	/kənˈtεst/
~	/ˈkɑnˌtεst/
contestant	/kənˈtεstənt/
context	/ˈkɑnˌtεkst/
continent	/ˈkɑntənənt/
continental	/ˌkɑntənˈεntəl/
contingency	/kənˈtɪndƷənsi/
continue	/kənˈtɪnjuː/
continual	/kənˈtɪnjʊəl/
continuation	/kənˌtɪnjʊˈeɪʃən/
continuity	/ˌkɑntənˈuːət̬i, -ˈjuː-/
continuous	/kənˈtɪnjʊəs/
contort	/kənˈtɔrt/
contortion	/kənˈtɔrʃən/
contour	/ˈkɑnˌtʊr/
contraband	/ˈkɑntrəˌbænd/
contraception	/ˌkɑntrəˈsεpʃən/
contraceptive	/ˌkɑntrəˈsεptɪv/
contract	/ˈkɑnˌtrækt/
~	/kənˈtrækt/
contraction	/kənˈtrækʃən/
contractor	/ˈkɑnˌtræktɚ, kənˈtræk-/
contradiction	/ˌkɑntrəˈdɪkʃən/
contradict	/ˌkɑntrəˈdɪkt/
contradictory	/ˌkɑntrəˈdɪktɚi/
contraption	/kənˈtræpʃən/
contrary	/ˈkɑnˌtrεri/
contrast	/kənˈtræst/
~	/ˈkɑnˌtræst/
contribute	/kənˈtrɪbjət/
contribution	/ˌkɑntrəˈbjuːʃən/
contributor	/kənˈtrɪbjət̬ɚ/
contrite	/ˈkɑnˌtraɪt, kənˈtraɪt/
contrive	/kənˈtraɪv/
control	/kənˈtroːl/
controversy	/ˈkɑntrəˌvɝsi/
controversial	/ˌkɑntrəˈvɝʃəl, -siəl/
convalescence	/ˌkɑnvəˈlεsəns/
convalescent	/ˌkɑnvəˈlεsənt/
convene	/kənˈviːn/
convenience	/kənˈviːnjəns/
convenient	/kənˈviːnjənt/
convent	/ˈkɑnvənt, -ˌvεnt/
convention	/kənˈvεnʃən/
conventional	/kənˈvεnʃənəl/
converge	/kənˈvɝdƷ/
converse 1	/kənˈvɝs/
conversation	/ˌkɑnvɚˈseɪʃən/
conversational	/ˌkɑnvɚˈseɪʃənəl/
converse 2	/kənˈvɝs, ˈkɑnˌvɝs/
conversely	/kənˈvɝsli, ˈkɑnˌvɝs-/
conversion	/kənˈvɝƷən/
convert	/kənˈvɝt/
convertible	/kənˈvɝt̬əbəl/
convex	/kɑnˈvεks, ˈkɑnˌ-, kənˈ-/
convey	/kənˈveɪ/
convict	/kənˈvɪkt/
~	/ˈkɑnˌvɪkt/
conviction	/kənˈvɪkʃən/
convince	/kənˈvɪns/
convincing	/kənˈvɪnsɪŋ/
convoke	/kənˈvoːk/
convoluted	/ˈkɑnvəˌluːt̬əd/
convulsion	/kənˈvʌlʃən/
convulsive	/kənˈvʌlsɪv/
cook	/ˈkʊk/
cookbook	/ˈkʊkˌbʊk/
cooky	/ˈkʊki/
cool	/ˈkuːl/
cooler	/ˈkuːlɚ/
coolness	/ˈkuːlnəs/
coop	/ˈkuːp, ˈkʊp/
cooperate	/koˈɑpəˌreɪt/
cooperation	/koˌɑpəˈreɪʃən/
cooperative	/koˈɑpɚət̬iv, -ˈɑpəˌreɪt̬iv/
coordinate	/koˈɔrdənˌeɪt/
coordination	/koˌɔrdənˈeɪʃən/
cop	/ˈkɑp/
cope	/ˈkoːp/
copier	/ˈkɑpiɚ/
copious	/ˈkoːpiəs/
copper	/ˈkɑpɚ/
copy	/ˈkɑpi/
copyright	/ˈkɑpiˌraɪt/
coral	/ˈkɔrəl/
cord	/ˈkɔrd/
cordial	/ˈkɔrdƷəl/
corduroy	/ˈkɔrdəˌrɔɪ/
core	/ˈkor/
cork	/ˈkɔrk/
corkscrew	/ˈkɔrkˌskruː/
corn	/ˈkɔrn/
corncob	/ˈkɔrnˌkɑb/
corner	/ˈkɔrnɚ/
cornerstone	/ˈkɔrnɚˌstoːn/
cornmeal	/ˈkɔrnˌmiːl/
cornstarch	/ˈkɔrnˌstɑrtʃ/
corny	/ˈkɔrni/
coronary	/ˈkɔrəˌnεri/
coronation	/ˌkɔrəˈneɪʃən/
corporal	/ˈkɔrpɚəl/
corporation	/ˌkɔrpəˈreɪʃən/
corporate	/ˈkɔrpɚət/
corps	/ˈkor/
corps	/ˈkorz/
corpse	/ˈkɔrps/
corpulent	/ˈkɔrpjələnt/
corpuscle	/ˈkɔrˌpʌsəl/
corral	/kəˈræl/
correct	/kəˈrεkt/
correction	/kəˈrεkʃən/
correlation	/ˌkɔrəˈleɪʃən/
correspond	/ˌkɔrəˈspɑnd/
correspondence	/ˌkɔrəˈspɑndəns/
corridor	/ˈkɔrədɚ, -ˌdɔr/
corroborate	/kəˈrɑbəˌreɪt/
corrode	/kəˈroːd/
corrosion	/kəˈroːƷən/
corrosive	/kəˈroːsɪv/
corrugated	/ˈkɔrəˌgeɪt̬əd/
corrupt	/kəˈrʌpt/
corruption	/kəˈrʌpʃən/
corset	/ˈkɔrsət/
cosmetic	/kɑzˈmεt̬ɪk/
cosmic	/ˈkɑzmɪk/
cosmopolitan	/ˌkɑzməˈpɑlətən/
cosmos	/ˈkɑzməs, -ˌmoːs, -ˌmɑs/
cost	/ˈkɔst/
Costa Rican	/ˌkɔstəˈriːkən/
costly	/ˈkɔstli/
costume	/ˈkɑsˌtuːm, -ˌtjuːm/
cot	/ˈkɑt/
cottage	/ˈkɑt̬ɪdƷ/
cotton	/ˈkɑtən/
couch	/ˈkaʊtʃ/
cough	/ˈkɔf/
could	/ˈkʊd/
council	/ˈkaʊnsəl/
councilor	/ˈkaʊnsəlɚ/
counsellor	/ˈkaʊnsəlɚ/
count	/ˈkaʊnt/
counter	/ˈkaʊntɚ/
counteract	/ˌkaʊntɚˈækt/
counterattack	/ˈkaʊntɚəˌtæk/
counterbalance	/ˌkaʊntɚˈbæləns/
counterclockwise	/ˌkaʊntɚˈklɑkˌwaɪz/
counterfeit	/ˈkaʊntɚˌfɪt/
counterpart	/ˈkaʊntɚˌpɑrt/
counterproductive	/ˌkaʊntɚprəˈdʌktɪv/
countess	/ˈkaʊntɪs/
countless	/ˈkaʊntləs/
country	/ˈkʌntri/
countryman	/ˈkʌntrimən/
countrymen	/-mən, -ˌmεn/
countryside	/ˈkʌntriˌsaɪd/
county	/ˈkaʊnti/
coup	/ˈkuː/
coups	/ˈkuːz/
couple	/ˈkʌpəl/
coupon	/ˈkuːˌpɑn, ˈkjuː-/
courage	/ˈkɝɪdƷ/
courageous	/kəˈreɪdƷəs/
courier	/ˈkʊriɚ, ˈkɝiɚ/
course	/ˈkors/
court	/ˈkort/
courteous	/ˈkɝt̬iəs/
courtesy	/ˈkɝt̬əsi/
courthouse	/ˈkortˌhaʊs/
courtroom	/ˈkortˌruːm/
courtship	/ˈkortˌʃɪp/
courtyard	/ˈkortˌjɑrd/
cousin	/ˈkʌzən/
cove	/ˈkoːv/
covenant	/ˈkʌvənənt/
cover	/ˈkʌvɚ/
coverage	/ˈkʌvɚɪdƷ/
covert	/ˈkoːˌvɝt, ˈkʌvɚt/
cover–up	/ˈkʌvɚˌʌp/
covet	/ˈkʌvət/
covetous	/ˈkʌvət̬əs/
cow	/ˈkaʊ/
coward	/ˈkaʊɚd/
cowardice	/ˈkaʊɚdɪs/
cowardly	/ˈkaʊɚdli/
cowboy	/ˈkaʊˌbɔɪ/
cower	/ˈkaʊɚ/
coy	/ˈkɔɪ/
coyote	/ kaɪˈoːt̬i, ˈkaɪˌoːt/
cozy	/ˈkoːzi/
crab	/ˈkræb/
crack	/ˈkræk/
cracker	/ˈkrækɚ/
crackle	/ˈkrækəl/
cradle	/ˈkreɪdəl/
craft	/ˈkræft/
craftsman	/ˈkræftsmən/
craftsmen	/-mən, -ˌmεn/
craftsmanship	/ˈkræftsmənˌʃɪp/
crafty	/ˈkræfti/
crag	/ˈkræg/
cram	/ˈkræm/
cramp	/ˈkræmp/
cranberry	/ˈkrænˌbεri/
crane	/ˈkreɪn/
crank	/ˈkræŋk/
cranky	/ˈkræŋki/
crash	/ˈkræʃ/
crass	/ˈkræs/
crate	/ˈkreɪt/
crater	/ˈkreɪt̬ɚ/
crave	/ˈkreɪv/
craving	/ˈkreɪvɪŋ/
crawl	/ˈkrɔl/
crayon	/ˈkreɪˌɑn, -ən/
craze	/ˈkreɪz/
crazy	/ˈkreɪzi/
craziness	/ˈkreɪzinəs/
creak	/ˈkriːk/
cream	/ˈkriːm/
creamy	/ˈkriːmi/
crease	/ˈkriːs/
create	/kriˈeɪt/
creation	/kriˈeɪʃən/
creative	/kriˈeɪt̬ɪv/
creator	/kriˈeɪt̬ɚ/
creature	/ˈkriːtʃɚ/
credence	/ˈkriːdəns/
credentials	/krɪˈdεnʃəlz/
credible	/ˈkrεdəbəl/
credibility	/ˌkrεdə ˈbɪlət̬i/
credit	/ˈkrεdɪt/
credulous	/ˈkrεdƷələs/
creed	/ˈkriːd/
creek	/ˈkriːk, ˈkrɪk/
creep	/ˈkriːp/
crept	/ˈkrεpt/
cremate	/ˈkriːˌmeɪt/
crescent	/ˈkrεsənt/
cress	/ˈkrεs/
crest	/ˈkrεst/
crestfallen	/ˈkrεstˌfɔlən/
crevice	/ˈkrεvɪs/
crew	/ˈkruː/
crib	/ˈkrɪb/
cricket	/ˈkrɪkət/
crime	/ˈkraɪm/
criminal	/ˈkrɪmənəl/
crimp	/ˈkrɪmp/
crimson	/ˈkrɪmzən/
cringe	/ˈkrɪndƷ/
crinkle	/ˈkrɪŋkəl/
cripple	/ˈkrɪpəl/
crisis	/ˈkraɪsɪs/
crises	/-ˌsiːz/
crisp	/ˈkrɪsp/
crispy	/ˈkrɪspi/
crisscross	/ˈkrɪsˌkrɔs/
criterion	/kraɪˈtɪriən/
ria	/-iə/
critic	/ˈkrɪt̬ɪk/
critical	/ˈkrɪt̬ɪkəl/
criticism	/ˈkrɪt̬əˌsɪzəm/
criticize	/ˈkrɪt̬əˌsaɪz/
croak	/ˈkroːk/
crock	/ˈkrɑk/
crockery	/ˈkrɑkɚi/
crocodile	/ˈkrɑkəˌdaɪl/
crony	/ˈkroːni/
crook	/ˈkrʊk/
crooked	/ˈkrʊkəd/
crop	/ˈkrɑp/
cross	/ˈkrɔs/
crossbreed	/ˈkrɔsˌbriːd/
bred	/-bred/
cross–eyed	/ˈkrɔsˌaɪd/
crossing	/ˈkrɔsɪŋ/
cross–reference	/ˌkrɔsˈrεfrəns, -ˈrεfɚəns/
crossroads	/ˈkrɔsˌroːdz/
crosswalk	/ˈkrɔsˌwɔk/
crossword puzzle	/ˈkrɔsˌwɝd/
crotch	/ˈkrɑtʃ/
crouch	/ˈkraʊtʃ/
crouton	/ˈkruːˌtɑn/
crow	/ˈkroː/
crowbar	/ˈkroːˌbɑr/
crowd	/ˈkraʊd/
crown	/ˈkraʊn/
crucial	/ˈkruːʃəl/
crucify	/ˈkruːsəˌfaɪ/
crucifix	/ˈkruːsəˌfɪks/
crucifixion	/ˌkruːsəˈfɪkʃən/
crude	/ˈkruːd/
cruel	/ˈkruːəl/
cruelty	/ˈkruːəlti/
cruet	/ˈkruːɪt/
cruise	/ˈkruːz/
cruiser	/ˈkruːzɚ/
crumb	/ˈkrʌm/
crumble	/ˈkrʌmbəl/
crumple	/ˈkrʌmpəl/
crunch	/ˈkrʌntʃ/
crunchy	/ˈkrʌntʃi/
crusade	/kruːˈseɪd/
crush	/ˈkrʌʃ/
crust	/ˈkrʌst/
crutch	/ˈkrʌtʃ/
crux	/ˈkrʌks, ˈkrʊks/
cry	/ˈkraɪ/
crypt	/ˈkrɪpt/
crystal	/ˈkrɪstəl/
cub	/ˈkʌb/
Cuban	/ˈkjuːbən/
cube	/ˈkjuːb/
cubic	/ˈkjuːbɪk/
cubicle	/ˈkjuːbɪkəl/
cuckoo	/ˈkuːˌkuː, ˈkʊ-/
cucumber	/ˈkjuːˌkʌmbɚ/
cuddle	/ˈkʌdəl/
cudgel	/ˈkʌdƷəl/
cue 1	/ˈkjuː/
cuff 1	/ˈkʌf/
cuisine	/kwɪˈziːn/
culinary	/ˈkʌləˌnεri, ˈkjuːlə-/
cull	/ˈkʌl/
culminate	/ˈkʌlməˌneɪt/
culmination	/ˌkʌlməˈneɪʃən/
culprit	/ˈkʌlprɪt/
cult	/ˈkʌlt/
cultivate	/ˈkʌltəˌveɪt/
cultivation	/ˌkʌltəˈveɪʃən/
culture	/ˈkʌltʃɚ/
cultural	/ˈkʌltʃɚəl/
cultured	/ˈkʌltʃɚd/
cumbersome	/ˈkʌmbɚsəm/
cumulative	/ˈkjuːmjələt̬iv, -ˌleɪt̬ɪv/
cunning	/ˈkʌnɪŋ/
cup	/ˈkʌp/
cupboard	/ˈkʌbɚd/
curator	/ˈkjʊrˌeɪt̬ɚ, kjʊˈreɪt̬ɚ/
curb	/ˈkɝb/
curdle	/ˈkɝdəl/
cure	/ˈkjʊr/
curfew	/ˈkɝˌfjuː/
curious	/ˈkjʊriəs/
curio	/ˈkjʊriˌoː/
curiosity	/ˌkjʊriˈɑsət̬i/
curl	/ˈkɝl/
curler	/ˈkɝlɚ/
curly	/ˈkɝli/
currant	/ˈkɝənt/
currency	/ˈkɝənsi/
current	/ˈkɝənt/
curriculum	/kəˈrɪkjələm/
curricula	/kəˈrɪkjələ/
curry	/ˈkɝi/
curse	/ˈkɝs/
cursor	/ˈkɝsɚ/
cursory	/ˈkɝsɚi/
curt	/ˈkɝt/
curtail	/kɚˈteɪl/
curtain	/ˈkɝtən/
curtsy	/ˈkɝtsi/
curve	/ˈkɝv/
cushion	/ˈkʊʃən/
custard	/ˈkʌstɚd/
custody	/ˈkʌstədi/
custodian	/ˌkʌˈstoːdiən/
custom	/ˈkʌstəm/
customary	/ˈkʌstəˌmεri/
customer	/ˈkʌstəmɚ/
customs	/ˈkʌstəmz/
cut	/ˈkʌt/
cute	/ˈkjuːt/
cutlery	/ˈkʌtlɚi/
cutlet	/ˈkʌtlət/
cutting	/ˈkʌt̬ɪŋ/
cyanide	/ˈsaɪəˌnaɪd, -nɪd/
cycle	/ˈsaɪkəl/
cyclic	/ˈsaɪklɪk, ˈsɪ-/
cyclical	/-klɪkəl/
cyclist	/ˈsaɪklɪst/
cyclone	/ˈsaɪˌkloːn/
cylinder	/ˈsɪləndɚ/
cylindrical	/səˈlɪndrɪkəl/
cymbal	/ˈsɪmbəl/
cynic	/ˈsɪnɪk/
cynical	/ˈsɪnɪkəl/
cynicism	/ˈsɪnəˌsɪzəm/
cypress	/ˈsaɪprəs/
cyst	/ˈsɪst/
czar	/ˈzɑr, ˈsɑr/
Czech	/ˈtʃεk/
d	/ˈdiː/
ds	/ˈdiːz/
dab	/ˈdæb/
dabble	/ˈdæbəl/
dad	/ˈdæd/
daddy	/ˈdædi/
daffodil	/ˈdæfəˌdɪl/
dagger	/ˈdægɚ/
daily	/ˈdeɪli/
dainty	/ˈdeɪnti/
dairy	/ˈdεəri/
daisy	/ˈdeɪzi/
dam	/ˈdæm/
damage	/ˈdæmɪdƷ/
damn	/ˈdæm/
damned	/ˈdæmd/
damp	/ˈdæmp/
dampen	/ˈdæmpən/
dampness	/ˈdæmpnəs/
dance	/ˈdæns/
dancer	/ˈdænsɚ/
dandelion	/ˈdændəlˌaɪən/
dandruff	/ˈdændrəf/
dandy	/ˈdændi/
danger	/ˈdeɪndƷɚ/
dangerous	/ˈdeɪndƷɚəs/
dangle	/ˈdæŋgəl/
Danish	/ˈdeɪnɪʃ/
dank	/ˈdæŋk/
dare	/ˈdεər/
daredevil	/ˈdεərˌdεvəl/
daring	/ˈdεərɪŋ/
dark	/ˈdɑrk/
darken	/ˈdɑrkən/
darkness	/ˈdɑrknəs/
darling	/ˈdɑrlɪŋ/
darn	/ˈdɑrn/
dart	/ˈdɑrt/
dash	/ˈdæʃ/
dashboard	/ˈdæʃˌbord/
dashing	/ˈdæʃɪŋ/
data	/ˈdeɪt̬ə, ˈdæ-, ˈdɑ-/
database	/ˈdeɪt̬əˌbeɪs, ˈdæ-, ˈdɑ-/
date 1	/ˈdeɪt/
dated	/ˈdeɪt̬əd/
daub	/ˈdɔb/
daughter	/ˈdɔt̬ɚ/
daughter–in–law	/ˈdɔt̬ɚɪnˌlɔ/
daunt	/ˈdɔnt/
dawdle	/ˈdɔdəl/
dawn	/ˈdɔn/
day	/ˈdeɪ/
daybreak	/ˈdeɪˌbreɪk/
daydream	/ˈdeɪˌdriːm/
daylight	/ˈdeɪˌlaɪt/
daytime	/ˈdeɪˌtaɪm/
daze	/ˈdeɪz/
dazzle	/ˈdæzəl/
dead	/ˈdεd/
deaden	/ˈdεdən/
dead end	/ˈdεdˈεnd/
deadline	/ˈdεdˌlaɪn/
deadlock	/ˈdεdˌlɑk/
deadly	/ˈdεdli/
deaf	/ˈdεf/
deafen	/ˈdεfən/
deafness	/ˈdεfnəs/
deal	/ˈdiːl/
dealer	/ˈdiːlɚ/
dean	/ˈdiːn/
dear	/ˈdɪr/
dearly	/ˈdɪrli/
death	/ˈdεθ/
debar	/diˈbɑr/
debate	/diˈbeɪt/
debit	/ˈdεbɪt/
debris	/dəˈbriː, deɪ-; ˈdeɪˌbriː/
bris	/-ˈbriːz, -ˌbriːz/
debt	/ˈdεt/
debtor	/ˈdεt̬ɚ/
debunk	/diˈbʌŋk/
debut	/deɪˈbjuː, ˈdeɪˌbjuː/
decade	/ˈdεˌkeɪd, dεˈkeɪd/
decadence	/ˈdεkədəns/
decadent	/ˈdεkədənt/
decal	/ˈdiːˌkæl, diˈkæl/
decanter	/diˈkæntɚ/
decapitate	/diˈkæpəˌteɪt/
decay	/diˈkeɪ/
deceased	/diˈsiːst/
deceive	/diˈsiːv/
deceit	/diˈsiːt/
deceitful	/diˈsiːtfəl/
December	/diˈsεmbɚ/
decent	/ˈdiːsənt/
decency	/ˈdisənsi/
deception	/diˈsεpʃən/
deceptive	/diˈsεptɪv/
decide	/diˈsaɪd/
decided	/diˈsaɪdəd/
decidedly	/diˈsaɪdədli/
decimal	/ˈdεsəməl/
decipher	/diˈsaɪfɚ/
decision	/dɪˈsɪƷən/
decisive	/dɪˈsaɪsɪv/
deck	/ˈdεk/
declare	/diˈklεər/
declaration	/ˌdεkləˈreɪʃən/
decline	/diˈklaɪn/
decode	/diˈkoːd/
decompose	/ˌdiːkəmˈpoːz/
decongestant	/ˌdiːkənˈdƷεstənt/
decorate	/ˈdεkəˌreɪt/
décor	/deɪˈkɔr, ˈdeɪˌkɔr/
decoration	/ˌdεkəˈreɪʃən/
decorator	/ˈdεkəˌreɪt̬ɚ/
decoy	/ˈdiːˌkɔɪ, diˈ-/
decrease	/diˈkriːs/
~	/ˈdiːˌkriːs/
decree	/diˈkriː/
decrepit	/diˈkrεpɪt/
dedicate	/ˈdεdɪˌkeɪt/
dedication	/ˌdεdɪˈkeɪʃən/
deduce /diˈduːs, -ˈdjuːs/
deduct	/diˈdʌkt/
deduction	/diˈdʌkʃən/
deed	/ˈdiːd/
deem	/ˈdiːm/
deep	/ˈdiːp/
deepen	/ˈdiːpən/
deeply	/ˈdiːpli/
deer	/ˈdɪr/
deface	/diˈfeɪs/
default	/diˈfɔlt, ˈdiːˌfɔlt/
defeat	/diˈfiːt/
defect	/ˈdiːˌfεkt, diˈfεkt/
~	/diˈfεkt/
defective	/diˈfεktɪv/
defend	/diˈfεnd/
defendant	/diˈfεndənt/
defence	/diˈfεns, ˈdiːˌfεns/
defensive	/diˈfεnsɪv/
defer	/diˈfɚ/
deference	/ˈdεfɚəns/
deferential	/ˌdεfəˈrεnʃəl/
defiance	/diˈfaɪəns/
defiant	/diˈfaɪənt/
deficiency	/diˈfɪʃənsi/
deficient	/diˈfɪʃənt/
deficit	/ˈdεfəsɪt/
defile	/diˈfaɪl/
define	/diˈfaɪn/
definite	/ˈdεfənɪt/
definition	/ˌdεfəˈnɪʃən/
definitive	/diˈfɪnət̬ɪv/
deflate	/diˈfleɪt/
deflect	/diˈflεkt/
deform	/diˈfɔrm/
deformity	/diˈfɔrmət̬i/
defraud	/diˈfrɔd/
defrost	/diˈfrɔst/
deft	/ˈdεft/
defy	/diˈfaɪ/
degenerate	/diˈdƷεnəˌreɪt/
~	/diˈdƷεnəˌrət/
degrade	/diˈgreɪd/
degree	/diˈgriː/
dehydrate	/diˈhaɪˌdreɪt/
deign	/ˈdeɪn/
deity	/ˈdiːət̬i, ˈdeɪ-/
dejected	/diˈdƷεktəd/
dejection	/diˈdƷεkʃən/
delay	/diˈleɪ/
delectable	/diˈlεktəbəl/
delegate	/ˈdεlɪgət, -ˌgeɪt/
~	/ˈdεlɪˌgeɪt/
delegation	/ˌdεlɪˈgeɪʃən/
delete	/diˈliːt/
deliberate	/dɪˈlɪbəˌreɪt/
~	/dɪˈlɪbɚət/
deliberately	/dɪˈlɪbɚətli/
deliberation	/dɪˌlɪbəˈreɪʃən/
delicacy	/ˈdεlɪkəsi/
delicate	/ˈdεlɪkət/
delicatessen	/ˌdεlɪkəˈtεsən/
delicious	/diˈlɪʃəs/
delight	/dɪˈlaɪt/
delightful	/dɪˈlaɪtfəl/
delinquent	/diˈlɪŋkwənt/
delirious	/diˈlɪriəs/
delirium	/diˈlɪriəm/
deliver	/diˈlɪvɚ/
delivery	/diˈlɪvɚi/
delude	/diˈluːd/
deluge	/ˈdεlˌjuːdƷ, -ˌjuːƷ/
delusion	/diˈluːƷən/
deluxe	/diˈlʌks, -ˈlʊks/
delve	/ˈdεlv/
demand	/diˈmænd/
demean	/diˈmiːn/
demeanor	/diˈmiːnɚ/
demented	/diˈmεntəd/
demise	/dɪˈmaɪz/
democracy	/diˈmɑkrəsi/
democrat	/ˈdεməˌkræt/
democratic	/ˌdεməˈkræt̬ɪk/
demolish	/diˈmɑlɪʃ/
demolition	/ˌdεməˈlɪ ʃən, ˌdiː-/
demon	/ˈdiːmən/
demonstrate	/ˈdεmənˌstreɪt/
demonstration	/ˌdεmənˈstreɪʃən/
demoralize	/diˈmɔrəˌlaɪz/
demote	/diˈmoːt/
demure	/diˈmjʊr/
den	/ˈdεn/
denial	/diˈnaɪəl/
denim	/ˈdεnəm/
denomination	/dɪˌnɑməˈneɪʃən/
denounce	/diˈnaʊns/
dense	/ˈdεns/
density	/ˈdεnsət̬i/
dent	/ˈdεnt/
dental	/ˈdεntəl/
dentist	/ˈdεntɪst/
dentures	/ˈdεntʃɚz/
deny	/diˈnaɪ/
deodorant	/diˈoːdɚənt/
depart	/diˈpɑrt/
department	/diˈpɑrtmənt/
departure	/diˈpɑrtʃɚ/
depend	/diˈpεnd/
dependable	/diˈpεndəbəl/
dependence	/diˈpεndəns/
dependent	/diˈpεndənt/
depict	/diˈpɪkt/
deplete	/diˈpliːt/
deplore	/diˈplor/
deplorable	/diˈplorəbəl/
deploy	/diˈplɔɪ/
deport	/diˈport/
deportation	/ˌdiˌporˈteɪʃən/
depose	/diˈpoːz/
deposit	/diˈpɑzə/
depot (station) /ˈdεˌpoː, ˈdiː-/
depot (storage place) /ˈdiːpoː/
depreciate	/diˈpriːʃiˌeɪt/
depreciation	/diˌpriːʃiˈeɪʃən/
depress	/diˈprεs/
depressed	/diˈprεst/
depressing	/diˈprεsɪŋ/
depression	/diˈprεʃən/
deprive	/diˈpraɪv/
depth	/ˈdεpθ/
depths	/ˈdεpθs, ˈdεps/
deputy	/ˈdεpjʊt̬i/
derail	/diˈreɪl/
deranged	/diˈreɪndƷd/
derelict	/ˈdεrəˌlɪkt/
deride	/diˈraɪd/
derision	/diˈrɪƷən/
derive	/diˈraɪv/
derivation	/ˌdεrəˈveɪʃən/
derogatory	/diˈrɑgəˌtori/
descend	/diˈsεnd/
descendant	/diˈsεndənt/
descent	/diˈsεnt/
describe	/diˈskraɪb/
description	/diˈskrɪpʃən/
descriptive	/diˈskrɪptɪv/
desecrate	/ˈdεsɪˌkreɪt/
desert	/ˈdεzɚt/
~	/diˈzɚt/
deserter	/diˈzɚt̬ɚ/
deserve	/diˈzɚv/
design	/diˈzaɪn/
designate	/ˈdεzɪgˌneɪt/
designer	/diˈzaɪnɚ/
desire	/diˈzaɪr/
desirable	/diˈzaɪrəbəl/
desk	/ˈdεsk/
desolate	/ˈdεsələt, -zə-/
despair	/diˈspεər/
desperate	/ˈdεspɚət/
desperation	/ˌdεspəˈreɪʃən/
despise	/diˈspaɪz/
despicable	/diˈspɪkəbəl, ˈdεspɪ-/
despite	/dəˈspaɪt/
despondent	/diˈspɑndənt/
dessert	/dɪˈzɚt/
destination	/ˌdεstəˈneɪʃən/
destined	/ˈdεstənd/
destiny	/ˈdεstəni/
destitute	/ˈdεstəˌtuːt, -ˌtjuːt/
destroy	/diˈstrɔɪ/
